,Predictive Scale,Learner,Explainer,All features ACC,Pred features ACC,Prog features ACC,PEHE,CATE true mean,CATE true var,Normalized PEHE
33,1.0,XLearner,feature_ablation,0.6303787878787879,0.47954545454545455,0.0,0.24069116149369685,0.18216356440041145,2.479154590605661,0.15286509776770205
34,1.0,DRLearner,feature_permutation,0.5982575757575758,0.45954545454545453,0.0,0.26291272095658347,0.18216356440041145,2.479154590605661,0.166978207857679
35,1.0,XLearner,feature_permutation,0.5959090909090909,0.46545454545454545,0.0,0.24069116149369685,0.18216356440041145,2.479154590605661,0.15286509776770205
36,1.0,DRLearner,integrated_gradients,0.6296969696969696,0.4675,0.0,0.26291272095658347,0.18216356440041145,2.479154590605661,0.166978207857679
37,1.0,XLearner,integrated_gradients,0.6287878787878788,0.4888636363636364,0.0,0.24069116149369685,0.18216356440041145,2.479154590605661,0.15286509776770205
38,1.0,DRLearner,shapley_value_sampling,0.6295454545454545,0.4727272727272727,0.0,0.26291272095658347,0.18216356440041145,2.479154590605661,0.166978207857679
39,1.0,XLearner,shapley_value_sampling,0.6298484848484849,0.49113636363636365,0.0,0.24069116149369685,0.18216356440041145,2.479154590605661,0.15286509776770205
40,2.0,DRLearner,feature_ablation,0.6295454545454545,0.4798863636363636,0.0,0.4332131595893393,0.3643271288008229,9.916618362422644,0.13756876568276832
41,2.0,XLearner,feature_ablation,0.6301515151515151,0.49170454545454545,0.0,0.44067967445953066,0.3643271288008229,9.916618362422644,0.1399397906895293
42,2.0,DRLearner,feature_permutation,0.5978030303030303,0.47238636363636366,0.0,0.4332131595893393,0.3643271288008229,9.916618362422644,0.13756876568276832
43,2.0,XLearner,feature_permutation,0.5949242424242425,0.4731818181818182,0.0,0.44067967445953066,0.3643271288008229,9.916618362422644,0.1399397906895293
44,2.0,DRLearner,integrated_gradients,0.6316666666666667,0.4839772727272727,0.0,0.4332131595893393,0.3643271288008229,9.916618362422644,0.13756876568276832
45,2.0,XLearner,integrated_gradients,0.6308333333333334,0.4980681818181818,0.0,0.44067967445953066,0.3643271288008229,9.916618362422644,0.1399397906895293
46,2.0,DRLearner,shapley_value_sampling,0.628030303030303,0.48522727272727273,0.0,0.4332131595893393,0.3643271288008229,9.916618362422644,0.13756876568276832
47,2.0,XLearner,shapley_value_sampling,0.6309848484848485,0.4993181818181818,0.0,0.44067967445953066,0.3643271288008229,9.916618362422644,0.1399397906895293
